"series","timestamp","value","label"
"Rise","2023-07-01T09:30:09Z",564,"1"
"Set","2023-07-02T02:00:09Z",114,"1"
"Rise","2023-07-02T09:25:09Z",559,"1"
"Set","2023-07-03T02:00:09Z",114,"1"
"Rise","2023-07-03T09:25:09Z",559,"1"
"Set","2023-07-04T01:45:09Z",99,"1"
"Rise","2023-07-04T09:25:09Z",559,"1"
"Set","2023-07-05T01:45:09Z",99,"1"
"Rise","2023-07-05T09:10:09Z",544,"1"
"Set","2023-07-06T01:40:09Z",94,"1"
"Rise","2023-07-06T09:45:09Z",579,"1"
"Set","2023-07-07T02:00:09Z",114,"1"
"Rise","2023-07-07T09:30:09Z",564,"1"
"Set","2023-07-08T01:55:09Z",109,"1"
"Rise","2023-07-08T09:35:09Z",569,"1"
"Set","2023-07-09T02:05:09Z",119,"1"
"Rise","2023-07-09T09:35:09Z",569,"1"
"Set","2023-07-10T02:00:09Z",114,"1"
"Rise","2023-07-10T09:35:09Z",569,"1"
"Set","2023-07-11T01:55:09Z",109,"1"
"Rise","2023-07-11T09:30:09Z",564,"1"
"Set","2023-07-12T02:00:09Z",114,"1"
"Rise","2023-07-12T09:40:09Z",574,"1"
"Set","2023-07-13T01:40:09Z",94,"1"
"Rise","2023-07-13T09:35:09Z",569,"1"
"Set","2023-07-14T01:45:09Z",99,"1"
"Rise","2023-07-14T09:40:09Z",574,"1"
"Set","2023-07-15T01:45:09Z",99,"1"
"Rise","2023-07-15T09:50:09Z",584,"1"
"Set","2023-07-16T01:40:09Z",94,"1"
"Rise","2023-07-16T09:45:09Z",579,"1"
"Set","2023-07-17T01:45:09Z",99,"1"
"Rise","2023-07-17T09:40:09Z",574,"1"
"Set","2023-07-18T01:40:09Z",94,"1"
"Rise","2023-07-18T09:45:09Z",579,"1"
"Set","2023-07-19T01:40:09Z",94,"1"
"Rise","2023-07-19T09:45:09Z",579,"1"
"Set","2023-07-20T01:35:09Z",89,"1"
"Rise","2023-07-20T09:50:09Z",584,"1"
"Set","2023-07-21T01:40:09Z",94,"1"
