"series","timestamp","value","label"
"Rise","2023-07-01T09:29:03Z",563,"1"
"Set","2023-07-02T01:54:03Z",108,"1"
"Rise","2023-07-02T09:29:03Z",563,"1"
"Set","2023-07-03T01:54:03Z",108,"1"
"Rise","2023-07-03T09:29:03Z",563,"1"
"Set","2023-07-04T01:49:03Z",103,"1"
"Rise","2023-07-04T09:34:03Z",568,"1"
"Set","2023-07-05T01:49:03Z",103,"1"
"Rise","2023-07-05T09:34:03Z",568,"1"
"Set","2023-07-06T01:44:03Z",98,"1"
"Rise","2023-07-06T09:39:03Z",573,"1"
"Set","2023-07-07T01:54:03Z",108,"1"
"Rise","2023-07-07T09:34:03Z",568,"1"
"Set","2023-07-08T01:54:03Z",108,"1"
"Rise","2023-07-08T09:39:03Z",573,"1"
"Set","2023-07-09T02:04:03Z",118,"1"
"Rise","2023-07-09T09:39:03Z",573,"1"
"Set","2023-07-10T01:49:03Z",103,"1"
"Rise","2023-07-10T09:39:03Z",573,"1"
"Set","2023-07-11T01:44:03Z",98,"1"
"Rise","2023-07-11T09:49:03Z",583,"1"
"Set","2023-07-12T01:49:03Z",103,"1"
"Rise","2023-07-12T09:44:03Z",578,"1"
"Set","2023-07-13T01:34:03Z",88,"1"
"Rise","2023-07-13T09:49:03Z",583,"1"
"Set","2023-07-14T01:39:03Z",93,"1"
"Rise","2023-07-14T09:49:03Z",583,"1"
"Set","2023-07-15T01:44:03Z",98,"1"
"Rise","2023-07-15T09:54:03Z",588,"1"
"Set","2023-07-16T01:39:03Z",93,"1"
"Rise","2023-07-16T09:49:03Z",583,"1"
"Set","2023-07-17T01:49:03Z",103,"1"
"Rise","2023-07-17T09:54:03Z",588,"1"
"Set","2023-07-18T01:39:03Z",93,"1"
"Rise","2023-07-18T09:49:03Z",583,"1"
"Set","2023-07-19T01:39:03Z",93,"1"
"Rise","2023-07-19T09:54:03Z",588,"1"
"Set","2023-07-20T01:39:03Z",93,"1"
"Rise","2023-07-20T09:59:03Z",593,"1"
"Set","2023-07-21T01:39:03Z",93,"1"
"Rise","2023-07-21T09:54:03Z",588,"1"
"Set","2023-07-22T01:39:03Z",93,"1"
"Rise","2023-07-22T09:49:03Z",583,"1"
"Set","2023-07-23T01:39:03Z",93,"1"
"Rise","2023-07-23T09:49:03Z",583,"1"
"Set","2023-07-24T01:39:03Z",93,"1"
"Rise","2023-07-24T09:54:03Z",588,"1"
"Set","2023-07-25T01:34:03Z",88,"1"
"Rise","2023-07-25T09:59:03Z",593,"1"
"Set","2023-07-26T01:29:03Z",83,"1"
"Rise","2023-07-26T09:59:03Z",593,"1"
